Make,AccidentArea,MonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,NumberOfCars,Year,BasePolicy,FraudFound_P
Honda,Urban,Jan,Female,Single,21,Policy Holder,Sport - Liability,Sport,more than 69000,1,more than 30,more than 30,none,3 years,26 to 30,No,No,3 to 4,1994,Liability,0
Honda,Urban,Jan,Male,Single,34,Policy Holder,Sport - Collision,Sport,more than 69000,4,more than 30,more than 30,none,6 years,31 to 35,Yes,No,1 vehicle,1994,Collision,0
Honda,Urban,Nov,Male,Married,47,Policy Holder,Sport - Collision,Sport,more than 69000,3,more than 30,more than 30,1,7 years,41 to 50,No,No,1 vehicle,1994,Collision,0
Toyota,Rural,Jul,Male,Married,65,Third Party,Sedan - Liability,Sport,20000 to 29000,2,more than 30,more than 30,1,more than 7,51 to 65,Yes,No,1 vehicle,1994,Liability,0
Honda,Urban,Feb,Female,Single,27,Third Party,Sport - Collision,Sport,more than 69000,1,more than 30,more than 30,none,5 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Honda,Urban,Nov,Male,Single,20,Third Party,Sport - Collision,Sport,more than 69000,3,more than 30,more than 30,none,5 years,21 to 25,No,No,1 vehicle,1994,Collision,0
Honda,Urban,Feb,Male,Married,36,Third Party,Sport - Collision,Sport,more than 69000,1,more than 30,more than 30,1,7 years,36 to 40,No,No,1 vehicle,1994,Collision,0
Honda,Urban,Mar,Male,Single,0,Policy Holder,Sport - Collision,Sport,more than 69000,4,more than 30,more than 30,1,new,16 to 17,No,No,1 vehicle,1994,Collision,0
Honda,Urban,Dec,Male,Single,30,Policy Holder,Sport - Collision,Sport,more than 69000,4,more than 30,more than 30,none,6 years,31 to 35,No,Yes,1 vehicle,1994,Collision,0
Ford,Urban,Apr,Male,Married,42,Policy Holder,Utility - All Perils,Utility,more than 69000,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,1 vehicle,1994,All Perils,0
Mazda,Urban,Mar,Male,Single,71,Policy Holder,Sedan - All Perils,Sedan,more than 69000,3,more than 30,more than 30,none,more than 7,over 65,No,No,1 vehicle,1994,All Perils,0
Honda,Urban,Mar,Male,Married,52,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,1 vehicle,1994,Liability,0
Ford,Urban,Jan,Male,Married,28,Policy Holder,Sedan - Liability,Sport,more than 69000,1,more than 30,more than 30,1,7 years,31 to 35,No,No,1 vehicle,1994,Liability,0
Honda,Rural,Feb,Male,Single,0,Third Party,Sedan - Collision,Sedan,more than 69000,3,more than 30,more than 30,none,new,16 to 17,No,No,1 vehicle,1994,Collision,0
Ford,Urban,Feb,Male,Married,61,Policy Holder,Sedan - Liability,Sport,more than 69000,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,1 vehicle,1994,Liability,0
Ford,Urban,Aug,Male,Single,38,Policy Holder,Sedan - Liability,Sport,more than 69000,1,more than 30,more than 30,none,6 years,36 to 40,No,No,1 vehicle,1994,Liability,0
Ford,Urban,May,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,more than 69000,4,more than 30,more than 30,none,7 years,36 to 40,No,No,1 vehicle,1994,All Perils,0
Chevrolet,Urban,Aug,Female,Married,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,1,more than 30,more than 30,none,7 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Pontiac,Urban,May,Male,Single,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1,more than 30,more than 30,1,7 years,31 to 35,No,No,1 vehicle,1994,Liability,0
Honda,Urban,May,Male,Married,30,Third Party,Sedan - Liability,Sport,more than 69000,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,1 vehicle,1994,Liability,0
Mazda,Urban,May,Male,Married,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,1 vehicle,1994,Liability,0
Chevrolet,Urban,Jan,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,2 vehicles,1994,Collision,0
Mazda,Urban,Aug,Male,Married,63,Policy Holder,Sedan - Liability,Sport,20000 to 29000,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,1 vehicle,1994,Liability,0
Pontiac,Urban,Jun,Male,Single,31,Third Party,Sedan - Liability,Sport,30000 to 39000,3,more than 30,more than 30,none,6 years,31 to 35,No,No,1 vehicle,1994,Liability,0
Mazda,Urban,Sep,Male,Married,45,Policy Holder,Sedan - All Perils,Sedan,more than 69000,3,more than 30,more than 30,more than 4,more than 7,36 to 40,Yes,No,1 vehicle,1994,All Perils,0
Pontiac,Urban,Apr,Male,Married,60,Policy Holder,Sedan - Liability,Sport,20000 to 29000,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,1 vehicle,1994,Liability,0
Honda,Urban,Jun,Male,Married,21,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,2,more than 30,more than 30,more than 4,5 years,26 to 30,No,No,1 vehicle,1994,Collision,0
Accura,Urban,May,Male,Married,42,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,1 vehicle,1994,All Perils,0
Honda,Urban,Sep,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,more than 30,more than 30,none,new,16 to 17,No,No,1 vehicle,1994,All Perils,1
Mazda,Urban,May,Female,Married,39,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,3,more than 30,more than 30,none,7 years,36 to 40,No,No,1 vehicle,1994,Collision,0
Dodge,Urban,Mar,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,1 vehicle,1994,Collision,0
Honda,Urban,Mar,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,more than 69000,1,more than 30,more than 30,1,new,16 to 17,No,No,1 vehicle,1994,Collision,0
Chevrolet,Urban,Mar,Male,Single,42,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,1 vehicle,1994,Collision,0
Honda,Urban,Jan,Male,Single,30,Third Party,Sedan - Collision,Sedan,20000 to 29000,4,more than 30,more than 30,none,6 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Ford,Urban,Jan,Male,Married,42,Policy Holder,Utility - All Perils,Utility,more than 69000,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,1 vehicle,1994,All Perils,0
Chevrolet,Urban,Oct,Male,Single,34,Third Party,Sedan - Liability,Sport,20000 to 29000,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,1 vehicle,1994,Liability,0
Honda,Urban,Oct,Male,Married,30,Third Party,Sedan - Collision,Sedan,20000 to 29000,4,more than 30,more than 30,none,6 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Mazda,Urban,Sep,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,2,more than 30,more than 30,none,7 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Honda,Urban,Nov,Male,Married,55,Policy Holder,Sport - Collision,Sport,more than 69000,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,1 vehicle,1994,Collision,0
Toyota,Urban,Jan,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,3,more than 30,more than 30,none,7 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Chevrolet,Urban,Apr,Female,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Pontiac,Urban,Mar,Male,Married,44,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,3 to 4,1994,All Perils,0
