Month,MonthClaimed,Sex,Fault,PolicyType,PolicyNumber,Deductible,AddressChange_Claim,BasePolicy,FraudFound_P
Dec,Jan,Female,Policy Holder,Sport - Liability,1,300,1 year,Liability,0
Jan,Jan,Male,Policy Holder,Sport - Collision,2,400,no change,Collision,0
Oct,Nov,Male,Policy Holder,Sport - Collision,3,400,no change,Collision,0
Jun,Jul,Male,Third Party,Sedan - Liability,4,400,no change,Liability,0
Jan,Feb,Female,Third Party,Sport - Collision,5,400,no change,Collision,0
Oct,Nov,Male,Third Party,Sport - Collision,6,400,no change,Collision,0
Feb,Feb,Male,Third Party,Sport - Collision,7,400,no change,Collision,0
Nov,Mar,Male,Policy Holder,Sport - Collision,8,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sport - Collision,9,400,no change,Collision,0
Apr,Apr,Male,Policy Holder,Utility - All Perils,10,400,no change,All Perils,0
Mar,Mar,Male,Policy Holder,Sedan - All Perils,11,400,no change,All Perils,0
Mar,Mar,Male,Policy Holder,Sedan - Liability,12,400,no change,Liability,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,13,400,no change,Liability,0
Jan,Feb,Male,Third Party,Sedan - Collision,14,400,no change,Collision,0
Jan,Feb,Male,Policy Holder,Sedan - Liability,15,400,no change,Liability,0
Aug,Aug,Male,Policy Holder,Sedan - Liability,16,400,no change,Liability,0
Apr,May,Male,Policy Holder,Sedan - All Perils,17,400,no change,All Perils,0
Jul,Aug,Female,Third Party,Sedan - Collision,18,400,no change,Collision,0
May,May,Male,Policy Holder,Sedan - Liability,19,400,no change,Liability,0
Apr,May,Male,Third Party,Sedan - Liability,20,400,no change,Liability,0
Apr,May,Male,Policy Holder,Sedan - Liability,21,400,no change,Liability,0
Jan,Jan,Male,Policy Holder,Sedan - Collision,22,400,4 to 8 years,Collision,0
Aug,Aug,Male,Policy Holder,Sedan - Liability,23,400,no change,Liability,0
Jun,Jun,Male,Third Party,Sedan - Liability,24,400,no change,Liability,0
Sep,Sep,Male,Policy Holder,Sedan - All Perils,25,400,no change,All Perils,0
Mar,Apr,Male,Policy Holder,Sedan - Liability,26,400,no change,Liability,0
Mar,Jun,Male,Policy Holder,Sedan - Collision,27,400,no change,Collision,0
May,May,Male,Policy Holder,Sedan - All Perils,28,400,no change,All Perils,0
Jul,Sep,Male,Policy Holder,Sedan - All Perils,29,400,no change,All Perils,1
May,May,Female,Policy Holder,Sedan - Collision,30,400,no change,Collision,0
Mar,Mar,Male,Policy Holder,Sedan - Collision,31,400,no change,Collision,0
Mar,Mar,Male,Policy Holder,Sedan - Collision,32,400,no change,Collision,0
Mar,Mar,Male,Policy Holder,Sedan - Collision,33,400,no change,Collision,0
Jan,Jan,Male,Third Party,Sedan - Collision,34,400,no change,Collision,0
Jan,Jan,Male,Policy Holder,Utility - All Perils,35,400,no change,All Perils,0
Oct,Oct,Male,Third Party,Sedan - Liability,36,400,no change,Liability,0
Oct,Oct,Male,Third Party,Sedan - Collision,37,400,no change,Collision,0
Sep,Sep,Male,Policy Holder,Sedan - Collision,38,400,no change,Collision,0
Nov,Nov,Male,Policy Holder,Sport - Collision,39,400,no change,Collision,0
Nov,Jan,Male,Policy Holder,Sedan - Collision,40,400,no change,Collision,0
Mar,Apr,Female,Policy Holder,Sedan - Collision,41,400,no change,Collision,0
Mar,Mar,Male,Policy Holder,Sedan - All Perils,42,400,no change,All Perils,0
Jul,Jul,Female,Policy Holder,Sedan - Liability,43,400,4 to 8 years,Liability,0
Jan,Jan,Male,Policy Holder,Sedan - Collision,44,400,no change,Collision,0
Jan,Jan,Male,Third Party,Sedan - Collision,45,400,no change,Collision,0
Feb,Feb,Female,Third Party,Sedan - All Perils,46,400,no change,All Perils,0
Feb,Feb,Male,Third Party,Sedan - Collision,47,400,no change,Collision,0
Nov,Nov,Male,Policy Holder,Sedan - Liability,48,400,no change,Liability,0
Apr,May,Female,Policy Holder,Sedan - Liability,49,400,no change,Liability,0
Apr,Apr,Male,Policy Holder,Sedan - Collision,50,400,no change,Collision,0
May,May,Male,Policy Holder,Sedan - Liability,51,400,no change,Liability,0
Jun,Jun,Male,Policy Holder,Sedan - Liability,52,500,2 to 3 years,Liability,0
Jul,Jan,Male,Policy Holder,Sport - Collision,53,400,no change,Collision,1
Jul,Aug,Male,Policy Holder,Sedan - Collision,54,400,no change,Collision,1
Jun,Jun,Male,Policy Holder,Sedan - Collision,55,400,no change,Collision,0
Dec,Dec,Male,Third Party,Sedan - All Perils,56,400,no change,All Perils,0
Jun,Jun,Male,Policy Holder,Sedan - All Perils,57,400,no change,All Perils,0
Nov,Nov,Male,Policy Holder,Sedan - Collision,58,400,no change,Collision,0
May,May,Male,Policy Holder,Sedan - Liability,59,400,no change,Liability,0
May,May,Female,Policy Holder,Sedan - Collision,60,400,no change,Collision,0
Nov,Nov,Male,Policy Holder,Sedan - All Perils,61,400,no change,All Perils,0
Sep,Jan,Male,Policy Holder,Utility - Collision,62,400,no change,Collision,0
Nov,Jan,Male,Third Party,Sedan - All Perils,63,400,no change,All Perils,0
Feb,Mar,Male,Policy Holder,Sedan - Liability,64,400,4 to 8 years,Liability,0
Dec,Dec,Male,Policy Holder,Sedan - Collision,65,400,no change,Collision,0
Dec,Jan,Male,Policy Holder,Sedan - All Perils,66,400,no change,All Perils,0
Mar,Mar,Male,Third Party,Sedan - Collision,67,400,no change,Collision,0
Aug,Aug,Male,Policy Holder,Sedan - Liability,68,400,no change,Liability,0
Jan,Jan,Male,Policy Holder,Sedan - Collision,69,400,no change,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,70,400,no change,Liability,0
Jan,Jan,Male,Policy Holder,Sedan - Collision,71,400,no change,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - Collision,72,400,no change,Collision,0
Sep,Jan,Female,Third Party,Sedan - Collision,73,400,no change,Collision,0
Jan,Jan,Male,Third Party,Sedan - Collision,74,400,no change,Collision,0
Apr,May,Male,Third Party,Sedan - Collision,75,400,no change,Collision,0
Aug,Aug,Male,Third Party,Sedan - Collision,76,400,no change,Collision,0
Oct,Jan,Male,Third Party,Sedan - All Perils,77,400,no change,All Perils,0
Feb,Feb,Female,Third Party,Sport - Collision,78,400,no change,Collision,0
Feb,Feb,Female,Policy Holder,Sedan - Liability,79,400,no change,Liability,0
Feb,Mar,Female,Third Party,Sedan - Collision,80,400,no change,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,81,400,no change,Liability,0
Jan,Jan,Male,Third Party,Sedan - Liability,82,400,no change,Liability,0
Dec,Apr,Male,Third Party,Sedan - All Perils,83,400,no change,All Perils,0
Nov,Feb,Female,Policy Holder,Sedan - Liability,84,400,no change,Liability,0
Dec,Jan,Male,Policy Holder,Sedan - Liability,85,400,4 to 8 years,Liability,0
Dec,Mar,Male,Policy Holder,Utility - Liability,86,400,no change,Liability,0
May,May,Male,Policy Holder,Sedan - Collision,87,400,no change,Collision,0
May,May,Male,Third Party,Sedan - All Perils,88,400,no change,All Perils,0
Oct,Oct,Male,Third Party,Sedan - All Perils,89,400,no change,All Perils,0
Oct,Oct,Male,Policy Holder,Sedan - Liability,90,400,no change,Liability,0
Oct,Oct,Female,Third Party,Sport - Collision,91,400,no change,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,92,400,1 year,Liability,0
Jan,Jan,Male,Policy Holder,Sedan - All Perils,93,400,no change,All Perils,0
Aug,Aug,Male,Policy Holder,Sedan - Collision,94,700,no change,Collision,0
Nov,Jan,Male,Policy Holder,Sport - Collision,95,400,no change,Collision,1
May,May,Male,Third Party,Sedan - Collision,96,400,no change,Collision,0
Nov,Jan,Male,Policy Holder,Sedan - Collision,97,400,no change,Collision,1
Jan,Jan,Male,Policy Holder,Sedan - All Perils,98,400,no change,All Perils,0
Nov,Jan,Male,Third Party,Sedan - All Perils,99,400,no change,All Perils,0
Jan,Jan,Male,Policy Holder,Sedan - All Perils,100,400,no change,All Perils,0
Nov,Jan,Male,Policy Holder,Utility - All Perils,101,400,no change,All Perils,1
Jan,Jan,Female,Third Party,Sedan - All Perils,102,400,no change,All Perils,0
Jan,Feb,Female,Policy Holder,Sedan - All Perils,103,500,no change,All Perils,0
Jan,Jan,Male,Policy Holder,Sedan - All Perils,104,400,no change,All Perils,0
Jan,Jan,Male,Third Party,Sedan - All Perils,105,400,no change,All Perils,0
Dec,Dec,Male,Policy Holder,Sedan - Liability,106,400,4 to 8 years,Liability,0
Aug,Aug,Male,Policy Holder,Sedan - Collision,107,400,no change,Collision,0
Nov,Apr,Male,Third Party,Sedan - All Perils,108,400,no change,All Perils,0
Jun,Oct,Male,Policy Holder,Sedan - All Perils,109,400,no change,All Perils,0
Mar,Mar,Male,Policy Holder,Sedan - Liability,110,400,no change,Liability,0
May,Sep,Male,Policy Holder,Sedan - Collision,111,400,no change,Collision,0
May,May,Male,Policy Holder,Sedan - All Perils,112,400,no change,All Perils,0
Nov,Dec,Male,Third Party,Sedan - All Perils,113,400,no change,All Perils,0
Nov,Jan,Male,Policy Holder,Utility - All Perils,114,400,no change,All Perils,1
Dec,Jan,Male,Third Party,Sedan - Collision,115,400,no change,Collision,0
Dec,Jan,Male,Third Party,Sport - Collision,116,400,no change,Collision,0
Nov,Nov,Male,Third Party,Sedan - Collision,117,400,no change,Collision,0
Aug,Aug,Male,Policy Holder,Sedan - Liability,118,400,no change,Liability,0
Nov,Dec,Male,Policy Holder,Sedan - All Perils,119,400,no change,All Perils,1
Dec,Dec,Male,Policy Holder,Sedan - All Perils,120,400,no change,All Perils,1
Feb,Mar,Male,Policy Holder,Sedan - All Perils,121,400,no change,All Perils,0
Oct,Oct,Female,Third Party,Sport - Collision,122,400,no change,Collision,0
Jun,Jun,Male,Policy Holder,Sedan - Collision,123,400,no change,Collision,0
Apr,Apr,Male,Policy Holder,Sedan - Collision,124,400,no change,Collision,0
Feb,Feb,Male,Third Party,Sedan - All Perils,125,400,no change,All Perils,0
Feb,Feb,Female,Policy Holder,Sedan - Liability,126,400,no change,Liability,0
Jan,Mar,Male,Policy Holder,Sedan - Collision,127,400,4 to 8 years,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,128,400,no change,Liability,0
Jan,Jan,Male,Third Party,Sedan - Liability,129,400,no change,Liability,0
Nov,Nov,Male,Policy Holder,Sedan - Collision,130,400,no change,Collision,0
Jul,Jul,Male,Policy Holder,Sedan - Collision,131,400,no change,Collision,0
Apr,Apr,Male,Third Party,Sedan - Collision,132,400,no change,Collision,0
Oct,Oct,Male,Third Party,Sedan - Collision,133,400,no change,Collision,0
Oct,Oct,Male,Policy Holder,Sedan - Collision,134,400,no change,Collision,0
Apr,Apr,Male,Policy Holder,Sedan - Collision,135,400,no change,Collision,0
Mar,Mar,Male,Policy Holder,Sedan - Collision,136,400,no change,Collision,0
Mar,Mar,Male,Third Party,Sedan - Collision,137,400,no change,Collision,0
Feb,Mar,Male,Policy Holder,Sedan - All Perils,138,400,no change,All Perils,0
